id,production_date,panel_serial_nbr,energy_produced
4653,2023-07-26,482303052413,1.84
4654,2023-07-26,482303052483,1.94
4655,2023-07-26,482303052487,2.08
4656,2023-07-26,482303052489,1.86
4657,2023-07-26,482303052497,2.07
4658,2023-07-26,482303052574,1.94
4659,2023-07-26,482303052582,2.07
4660,2023-07-26,482303052599,2.08
4961,2023-07-25,482303052269,1.53
4962,2023-07-25,482303052299,1.69
4963,2023-07-25,482303052413,1.62
4964,2023-07-25,482303052483,1.53
4965,2023-07-25,482303052487,1.68
4966,2023-07-25,482303052489,1.65
4967,2023-07-25,482303052497,1.75
4968,2023-07-25,482303052574,1.55
4969,2023-07-25,482303052582,1.76
4970,2023-07-25,482303052599,1.69
5281,2023-07-24,482303052269,1.2
5282,2023-07-24,482303052299,1.36
5283,2023-07-24,482303052413,1.33
5284,2023-07-24,482303052483,1.18
5285,2023-07-24,482303052487,1.35
5286,2023-07-24,482303052489,1.35
5287,2023-07-24,482303052497,1.41
5288,2023-07-24,482303052574,1.21
5289,2023-07-24,482303052582,1.42
5290,2023-07-24,482303052599,1.36
5611,2023-07-23,482303052269,1.12
5612,2023-07-23,482303052299,1.23
5613,2023-07-23,482303052413,1.06
5614,2023-07-23,482303052483,1.11
5615,2023-07-23,482303052487,1.21
5616,2023-07-23,482303052489,1.07
5617,2023-07-23,482303052497,1.21
5618,2023-07-23,482303052574,1.12
5619,2023-07-23,482303052582,1.21
5620,2023-07-23,482303052599,1.22
5951,2023-07-22,482303052269,0.802
5952,2023-07-22,482303052299,0.939
5953,2023-07-22,482303052413,0.929
5954,2023-07-22,482303052483,0.791
5955,2023-07-22,482303052487,0.93
5956,2023-07-22,482303052489,0.942
5957,2023-07-22,482303052497,0.988
5958,2023-07-22,482303052574,0.816
5959,2023-07-22,482303052582,0.992
5960,2023-07-22,482303052599,0.938
6301,2023-07-21,482303052269,1.55
6302,2023-07-21,482303052299,1.67
6303,2023-07-21,482303052413,1.44
6304,2023-07-21,482303052483,1.53
6305,2023-07-21,482303052487,1.66
6306,2023-07-21,482303052489,1.45
6307,2023-07-21,482303052497,1.65
6308,2023-07-21,482303052574,1.55
6309,2023-07-21,482303052582,1.65
6310,2023-07-21,482303052599,1.67
6661,2023-07-20,482303052269,1.94
6662,2023-07-20,482303052299,2.15
6663,2023-07-20,482303052413,2.06
6664,2023-07-20,482303052483,1.94
6665,2023-07-20,482303052487,2.14
6666,2023-07-20,482303052489,2.09
6667,2023-07-20,482303052497,2.22
6668,2023-07-20,482303052574,1.95
6669,2023-07-20,482303052582,2.24
6670,2023-07-20,482303052599,2.15
7031,2023-07-19,482303052269,1.3
7032,2023-07-19,482303052299,1.47
7033,2023-07-19,482303052413,1.43
7034,2023-07-19,482303052483,1.31
7035,2023-07-19,482303052487,1.46
7036,2023-07-19,482303052489,1.46
7037,2023-07-19,482303052497,1.52
7038,2023-07-19,482303052574,1.33
7039,2023-07-19,482303052582,1.53
7040,2023-07-19,482303052599,1.47
