id,consumption_date,stand_i,stand_ii,gas
261,2019-07-22 07:30:00.000000,43311,42156,37291.627
262,2019-07-23 07:30:00.000000,43312,42171,37292.144
263,2019-07-24 07:30:00.000000,43315,42191,37292.618
264,2019-07-25 07:30:00.000000,43319,42210,37293.049
265,2019-07-26 07:30:00.000000,43326,42231,37293.611
266,2019-07-27 07:30:00.000000,43333,42248,37294.042
267,2019-07-28 08:30:00.000000,43361,42248,37294.632
268,2019-07-29 07:30:00.000000,43381,42248,37295.02
269,2019-07-30 07:30:00.000000,43382,42265,37295.397
270,2019-07-31 07:30:00.000000,43385,42280,37295.792
271,2019-08-01 07:30:00.000000,43386,42292,37296.274
272,2019-08-02 07:30:00.000000,43389,42305,37296.719
273,2019-08-03 08:30:00.000000,43391,42318,37297.35
274,2019-08-04 09:30:00.000000,43403,42318,37297.942
275,2019-08-05 07:30:00.000000,43421,42318,37298.48
276,2019-08-06 07:30:00.000000,43422,42331,37299.104
277,2019-08-07 07:30:00.000000,43425,42345,37299.548
278,2019-08-08 07:30:00.000000,43426,42360,37299.962
279,2019-08-09 07:30:00.000000,43428,42375,37300.422
280,2019-08-10 09:00:00.000000,43432,42396,37301.043
281,2019-08-11 09:00:00.000000,43450,42396,37301.521
282,2019-08-12 07:30:00.000000,43465,42396,37302.23
283,2019-08-13 07:30:00.000000,43467,42408,37302.818
284,2019-08-14 07:30:00.000000,43469,42417,37303.431
285,2019-08-15 07:30:00.000000,43471,42427,37303.859
286,2019-08-16 07:30:00.000000,43472,42436,37304.332
287,2019-08-17 09:00:00.000000,43475,42443,37304.768
288,2019-08-18 13:00:00.000000,43493,42443,37305.686
289,2019-08-19 07:30:00.000000,43502,42444,37306.063
290,2019-08-20 07:30:00.000000,43504,42457,37306.929
291,2019-08-21 07:30:00.000000,43506,42467,37307.452
292,2019-08-22 07:30:00.000000,43508,42475,37308.129
293,2019-08-23 07:30:00.000000,43510,42485,37308.54
294,2019-08-24 07:30:00.000000,43513,42497,37309.014
295,2019-08-25 08:00:00.000000,43537,42497,37309.543
296,2019-08-26 07:30:00.000000,43559,42497,37310.145
297,2019-08-27 07:30:00.000000,43563,42519,37310.66
298,2019-08-28 07:30:00.000000,43570,42543,37311.168
299,2019-08-29 07:30:00.000000,43574,42569,37311.534
300,2019-08-30 07:30:00.000000,43576,42585,37312.04
301,2019-08-31 09:15:00.000000,43580,42595,37312.344
302,2019-09-01 09:00:00.000000,43610,42595,37312.913
303,2019-09-02 07:30:00.000000,43624,42595,37313.312
304,2019-09-03 07:30:00.000000,43627,42607,37313.812
305,2019-09-04 07:30:00.000000,43627,42607,37313.812
306,2019-09-05 07:30:00.000000,43632,42625,37314.651
307,2019-09-06 07:30:00.000000,43634,42631,37315.261
308,2019-09-07 07:30:00.000000,43637,42639,37315.884
309,2019-09-08 11:00:00.000000,43652,42639,37316.522
310,2019-09-09 07:30:00.000000,43664,42639,37317.033
311,2019-09-10 07:30:00.000000,43666,42644,37317.638
312,2019-09-11 07:30:00.000000,43668,42653,37318.162
313,2019-09-12 07:30:00.000000,43669,42663,37318.912
314,2019-09-13 07:30:00.000000,43672,42671,37319.602
315,2019-09-14 07:30:00.000000,43675,42678,37320.05
316,2019-09-15 07:30:00.000000,43687,42678,37320.667
317,2019-09-16 07:30:00.000000,43698,42678,37321.225
318,2019-09-17 08:00:00.000000,43699,42684,37321.802
319,2019-09-18 07:30:00.000000,43702,42693,37322.457
320,2019-09-19 07:30:00.000000,43704,42699,37323.15
321,2019-09-20 07:30:00.000000,43706,42706,37323.788
322,2019-09-21 07:30:00.000000,43711,42713,37324.598
323,2019-09-22 07:30:00.000000,43723,42713,37325.249
324,2019-09-23 07:30:00.000000,43738,42713,37325.86
325,2019-09-24 07:30:00.000000,43739,42721,37326.364
326,2019-09-25 08:00:00.000000,43742,42731,37326.975
327,2019-09-26 07:30:00.000000,43743,42740,37327.597
328,2019-09-27 07:30:00.000000,43745,42747,37328.331
329,2019-09-28 07:30:00.000000,43746,42756,37329.027
330,2019-09-29 07:30:00.000000,43756,42756,37329.587
331,2019-09-30 07:30:00.000000,43771,42756,37330.438
332,2019-10-01 09:15:00.000000,43773,42763,37330.977
333,2019-10-02 09:00:00.000000,43774,42770,37331.658
334,2019-10-03 07:30:00.000000,43777,42776,37332.217
335,2019-10-04 07:30:00.000000,43779,42784,37332.847
336,2019-10-05 07:30:00.000000,43781,42792,37333.447
337,2019-10-06 07:30:00.000000,43792,42792,37334.182
338,2019-10-07 07:30:00.000000,43803,42792,37334.824
339,2019-10-08 07:30:00.000000,43804,42799,37335.502
340,2019-10-09 11:00:00.000000,43806,42806,37337.144
341,2019-10-10 07:30:00.000000,43807,42815,37338.789
342,2019-10-11 07:30:00.000000,43809,42820,37339.338
343,2019-10-12 07:30:00.000000,43810,42829,37340.679
344,2019-10-13 07:30:00.000000,43821,42829,37343.741
345,2019-10-14 07:30:00.000000,43831,42829,37344.448
346,2019-10-15 07:30:00.000000,43833,42837,37345.395
347,2019-10-16 07:30:00.000000,43835,42846,37346.911
348,2019-10-17 07:30:00.000000,43838,42852,37348.301
349,2019-10-18 08:00:00.000000,43841,42857,37349.753
350,2019-10-19 07:30:00.000000,43844,42865,37350.872
351,2019-10-20 07:30:00.000000,43856,42865,37351.949
352,2019-10-21 07:30:00.000000,43869,42865,37353.668
353,2019-10-22 07:30:00.000000,43871,42871,37355.149
354,2019-10-23 07:30:00.000000,43872,42877,37356.489
355,2019-10-24 07:30:00.000000,43874,42885,37358.205
356,2019-10-25 08:00:00.000000,43876,42895,37360.191
357,2019-10-26 07:30:00.000000,43878,42905,37361.221
358,2019-10-27 07:30:00.000000,43889,42905,37361.943
359,2019-10-28 07:30:00.000000,43899,42906,37363.767
360,2019-10-29 07:30:00.000000,43901,42912,37365.66
361,2019-10-30 07:30:00.000000,43901,42912,37365.66
362,2019-10-31 09:15:00.000000,43904,42924,37372.979
363,2019-11-01 09:00:00.000000,43906,42934,37377.542
364,2019-11-02 07:30:00.000000,43908,42942,37379.912
365,2019-11-03 07:30:00.000000,43908,42942,37379.912
366,2019-11-04 07:30:00.000000,43931,42942,37382.821
367,2019-11-05 07:30:00.000000,43933,42951,37386.248
368,2019-11-06 07:30:00.000000,43935,42958,37387.265
369,2019-11-07 07:30:00.000000,43936,42965,37393.009
370,2019-11-08 11:00:00.000000,43939,42972,37394.592
371,2019-11-09 07:30:00.000000,43942,42980,37399.892
372,2019-11-10 07:30:00.000000,43952,42980,37401.644
373,2019-11-11 07:30:00.000000,43962,42980,37404.898
374,2019-11-12 07:30:00.000000,43964,42987,37407.937
375,2019-11-13 07:30:00.000000,43966,42994,37412.835
376,2019-11-14 07:30:00.000000,43967,43001,37416.934
377,2019-11-15 07:30:00.000000,43970,43007,37423.83
378,2019-11-16 07:30:00.000000,43972,43013,37426.19
379,2019-11-17 08:00:00.000000,43985,43013,37429.514
380,2019-11-18 07:30:00.000000,43996,43013,37431.603
381,2019-11-19 07:30:00.000000,43998,43020,37435.562
763,2019-11-20 07:30:00.000000,44000,43028,37438.237
764,2019-11-21 07:30:00.000000,44001,43034,37443.289
765,2019-11-22 07:30:00.000000,44004,43041,37446.629
766,2019-11-23 08:00:00.000000,44005,43050,37448.109
767,2019-11-24 07:30:00.000000,44016,43050,37450.16
768,2019-11-25 07:30:00.000000,44025,43050,37452.961
769,2019-11-26 07:30:00.000000,44027,43057,37456.162
770,2019-11-27 07:30:00.000000,44029,43066,37458.962
771,2019-11-28 07:30:00.000000,44030,43075,37460.633
772,2019-11-29 07:30:00.000000,44032,43083,37464.409
773,2019-11-30 08:30:00.000000,44034,43092,37469.081
774,2019-12-01 07:30:00.000000,44047,43092,37471.043
775,2019-12-02 07:30:00.000000,44053,43092,37476.863
776,2019-12-03 07:30:00.000000,44055,43100,37478.472
777,2019-12-04 07:30:00.000000,44056,43110,37480.453
778,2019-12-05 07:30:00.000000,44060,43118,37484.783
779,2019-12-06 08:00:00.000000,44061,43124,37488.798
780,2019-12-07 08:00:00.000000,44063,43132,37493.243
781,2019-12-08 08:00:00.000000,44077,43132,37494.829
782,2019-12-09 07:30:00.000000,44087,43132,37496.651
783,2019-12-10 07:30:00.000000,44089,43139,37500.762
784,2019-12-11 07:30:00.000000,44091,43145,37505.372
785,2019-12-12 08:30:00.000000,44095,43152,37508.182
786,2019-12-13 07:30:00.000000,44097,43158,37511.432
787,2019-12-14 08:00:00.000000,44099,43163,37516.141
788,2019-12-15 08:30:00.000000,44113,43163,37520.813
789,2019-12-16 07:30:00.000000,44123,43164,37525.428
790,2019-12-17 08:00:00.000000,44124,43171,37528.723
791,2019-12-18 07:30:00.000000,44126,43180,37531.932
792,2019-12-20 08:00:00.000000,44129,43198,37536.439
793,2019-12-21 07:30:00.000000,44130,43205,37538.322
794,2019-12-22 10:00:00.000000,44140,43205,37540.577
795,2019-12-23 07:30:00.000000,44151,43205,37543.098
796,2019-12-24 07:30:00.000000,44153,43214,37544.515
797,2019-12-25 07:30:00.000000,44155,43220,37548.094
798,2019-12-26 08:00:00.000000,44170,43220,37553.428
799,2019-12-27 07:30:00.000000,44180,43220,37556.081
800,2019-12-28 09:00:00.000000,44182,43228,37559.172
801,2019-12-29 09:00:00.000000,44197,43228,37565.759
802,2019-12-30 07:30:00.000000,44207,43228,37566.938
803,2019-12-31 07:30:00.000000,44208,43237,37574.302
804,2019-12-31 18:00:00.000000,44208,43237,37577.373
805,2020-01-01 07:30:00.000000,44210,43246,37579.661
806,2020-01-02 08:00:00.000000,44220,43247,37584.116
807,2020-01-03 07:30:00.000000,44221,43255,37588.978
808,2020-01-04 08:30:00.000000,44223,43262,37593.792
809,2020-01-05 08:30:00.000000,44235,43262,37596.715
810,2020-01-06 07:30:00.000000,44245,43263,37599.532
811,2020-01-07 07:30:00.000000,44246,43270,37601.991
812,2020-01-08 07:30:00.000000,44247,43279,37605.029
813,2020-01-09 07:30:00.000000,44249,43286,37607.81
814,2020-01-10 07:30:00.000000,44252,43293,37609.865
815,2020-01-11 07:30:00.000000,44253,43301,37613.572
816,2020-01-12 09:30:00.000000,44269,43301,37615.612
817,2020-01-13 07:30:00.000000,44279,43301,37616.598
818,2020-01-14 07:30:00.000000,44280,43310,37619.672
819,2020-01-15 07:30:00.000000,44281,43319,37622.024
820,2020-01-15 11:30:00.000000,44281,43321,37624.067
821,2020-01-16 07:30:00.000000,44282,43328,37624.548
822,2020-01-17 07:30:00.000000,44284,43338,37627.465
823,2020-01-20 08:00:00.000000,44311,43347,37634.381
824,2020-01-21 07:30:00.000000,44312,43354,37636.611
825,2020-01-22 07:30:00.000000,44314,43361,37640.942
826,2020-01-23 07:30:00.000000,44316,43370,37643.105
